DATAFLOW,FREQ,DER_TYPE,DER_INSTR,DER_RISK,DER_REP_CTY,DER_SECTOR_CPY,DER_CPC,DER_SECTOR_UDL,DER_CURR_LEG1,DER_CURR_LEG2,DER_ISSUE_MAT,DER_RATING,DER_EX_METHOD,DER_BASIS,TIME_PERIOD,AVAILABILITY,COLLECTION,OBS_STATUS,OBS_CONF,OBS_VALUE
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2007,K,S,A,F,1165.5
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2008,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2009,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2010,K,S,A,F,1232.97618
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2011,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2012,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2013,K,S,A,F,2678.431291
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2014,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2015,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2016,K,S,A,F,2867.452383
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2017,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2018,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2019,K,S,A,F,3418.148668
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,EUR,A,A,3,C,2001,K,S,A,F,17562.968806
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,EUR,A,A,3,C,2002,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,EUR,A,A,3,C,2003,K,S,M,F,
